time_s,undamped,underdamped,critical,overdamped
1.145000,-0.2708280417,-0.0752327433,0.0381146551,0.1344447338
1.150000,-0.2687740373,-0.0750479016,0.0376505378,0.1339395145
1.155000,-0.2666541175,-0.0748470709,0.0371916413,0.1334361936
1.160000,-0.2644688021,-0.0746304992,0.0367379154,0.1329347641
1.165000,-0.2622186271,-0.0743984353,0.0362893102,0.1324352189
1.170000,-0.2599041442,-0.0741511287,0.0358457761,0.1319375508
1.175000,-0.2575259212,-0.0738888293,0.0354072639,0.1314417529
1.180000,-0.2550845412,-0.0736117877,0.0349737245,0.1309478181
1.185000,-0.2525806030,-0.0733202551,0.0345451093,0.1304557393
1.190000,-0.2500147207,-0.0730144829,0.0341213700,0.1299655098
1.195000,-0.2473875235,-0.0726947228,0.0337024585,0.1294771224
1.200000,-0.2446996558,-0.0723612271,0.0332883271,0.1289905702
1.205000,-0.2419517767,-0.0720142479,0.0328789283,0.1285058465
1.210000,-0.2391445602,-0.0716540377,0.0324742152,0.1280229442
1.215000,-0.2362786947,-0.0712808490,0.0320741409,0.1275418566
1.220000,-0.2333548829,-0.0708949344,0.0316786589,0.1270625768
1.225000,-0.2303738421,-0.0704965464,0.0312877232,0.1265850980
1.230000,-0.2273363032,-0.0700859373,0.0309012880,0.1261094136
1.235000,-0.2242430113,-0.0696633593,0.0305193078,0.1256355166
1.240000,-0.2210947249,-0.0692290646,0.0301417374,0.1251634005
1.245000,-0.2178922161,-0.0687833047,0.0297685320,0.1246930585
1.250000,-0.2146362703,-0.0683263311,0.0293996472,0.1242244839
1.255000,-0.2113276861,-0.0678583947,0.0290350387,0.1237576702
1.260000,-0.2079672748,-0.0673797462,0.0286746628,0.1232926106
1.265000,-0.2045558606,-0.0668906354,0.0283184759,0.1228292987
1.270000,-0.2010942800,-0.0663913120,0.0279664349,0.1223677278
1.275000,-0.1975833821,-0.0658820246,0.0276184970,0.1219078914
1.280000,-0.1940240279,-0.0653630216,0.0272746195,0.1214497830
1.285000,-0.1904170903,-0.0648345503,0.0269347604,0.1209933961
1.290000,-0.1867634538,-0.0642968574,0.0265988778,0.1205387242
1.295000,-0.1830640145,-0.0637501887,0.0262669301,0.1200857608
1.300000,-0.1793196797,-0.0631947894,0.0259388762,0.1196344996
1.305000,-0.1755313676,-0.0626309033,0.0256146753,0.1191849342
1.310000,-0.1717000074,-0.0620587737,0.0252942867,0.1187370582
1.315000,-0.1678265385,-0.0614786425,0.0249776703,0.1182908652
1.320000,-0.1639119111,-0.0608907508,0.0246647862,0.1178463489
1.325000,-0.1599570851,-0.0602953385,0.0243555949,0.1174035030
1.330000,-0.1559630304,-0.0596926444,0.0240500571,0.1169623212
1.335000,-0.1519307266,-0.0590829059,0.0237481340,0.1165227974
1.340000,-0.1478611625,-0.0584663593,0.0234497870,0.1160849252
1.345000,-0.1437553362,-0.0578432398,0.0231549779,0.1156486984
1.350000,-0.1396142546,-0.0572137810,0.0228636687,0.1152141109
1.355000,-0.1354389334,-0.0565782152,0.0225758219,0.1147811565
1.360000,-0.1312303964,-0.0559367733,0.0222914002,0.1143498291
1.365000,-0.1269896758,-0.0552896850,0.0220103667,0.1139201225
1.370000,-0.1227178116,-0.0546371780,0.0217326847,0.1134920306
1.375000,-0.1184158515,-0.0539794790,0.0214583179,0.1130655475
1.380000,-0.1140848505,-0.0533168129,0.0211872304,0.1126406670
1.385000,-0.1097258708,-0.0526494031,0.0209193864,0.1122173832
1.390000,-0.1053399814,-0.0519774711,0.0206547507,0.1117956899
1.395000,-0.1009282578,-0.0513012372,0.0203932882,0.1113755813
1.400000,-0.0964917821,-0.0506209196,0.0201349642,0.1109570514
1.405000,-0.0920316423,-0.0499367351,0.0198797443,0.1105400943
1.410000,-0.0875489322,-0.0492488984,0.0196275944,0.1101247040
1.415000,-0.0830447511,-0.0485576228,0.0193784806,0.1097108747
1.420000,-0.0785202038,-0.0478631195,0.0191323696,0.1092986005
1.425000,-0.0739763997,-0.0471655979,0.0188892282,0.1088878755
1.430000,-0.0694144533,-0.0464652656,0.0186490234,0.1084786940
1.435000,-0.0648354834,-0.0457623284,0.0184117228,0.1080710501
1.440000,-0.0602406128,-0.0450569898,0.0181772941,0.1076649380
1.445000,-0.0556309686,-0.0443494519,0.0179457052,0.1072603521
1.450000,-0.0510076812,-0.0436399143,0.0177169247,0.1068572865
1.455000,-0.0463718843,-0.0429285749,0.0174909211,0.1064557356
1.460000,-0.0417247151,-0.0422156294,0.0172676633,0.1060556936
1.465000,-0.0370673130,-0.0415012718,0.0170471206,0.1056571549
1.470000,-0.0324008203,-0.0407856935,0.0168292626,0.1052601138
1.475000,-0.0277263816,-0.0400690842,0.0166140589,0.1048645648
1.480000,-0.0230451430,-0.0393516315,0.0164014799,0.1044705021
1.485000,-0.0183582528,-0.0386335206,0.0161914957,0.1040779203
1.490000,-0.0136668603,-0.0379149347,0.0159840772,0.1036868137
1.495000,-0.0089721160,-0.0371960550,0.0157791953,0.1032971769
1.500000,-0.0042751714,-0.0364770602,0.0155768212,0.1029090042
1.505000,0.0004228217,-0.0357581271,0.0153769265,0.1025222902
1.510000,0.0051207110,-0.0350394300,0.0151794830,0.1021370294
1.515000,0.0098173446,-0.0343211412,0.0149844627,0.1017532164
1.520000,0.0145115705,-0.0336034307,0.0147918381,0.1013708456
1.525000,0.0192022375,-0.0328864662,0.0146015818,0.1009899118
1.530000,0.0238881953,-0.0321704131,0.0144136666,0.1006104094
1.535000,0.0285682945,-0.0314554346,0.0142280658,0.1002323331
1.540000,0.0332413876,-0.0307416916,0.0140447528,0.0998556776
1.545000,0.0379063284,-0.0300293426,0.0138637014,0.0994804374
1.550000,0.0425619728,-0.0293185439,0.0136848854,0.0991066074
1.555000,0.0472071792,-0.0286094494,0.0135082792,0.0987341822
1.560000,0.0518408082,-0.0279022108,0.0133338572,0.0983631564
1.565000,0.0564617235,-0.0271969772,0.0131615943,0.0979935249
1.570000,0.0610687918,-0.0264938957,0.0129914654,0.0976252824
1.575000,0.0656608834,-0.0257931107,0.0128234457,0.0972584237
1.580000,0.0702368719,-0.0250947644,0.0126575109,0.0968929436
1.585000,0.0747956352,-0.0243989967,0.0124936367,0.0965288369
1.590000,0.0793360552,-0.0237059451,0.0123317991,0.0961660985
1.595000,0.0838570185,-0.0230157446,0.0121719744,0.0958047232
1.600000,0.0883574163,-0.0223285280,0.0120141392,0.0954447058
1.605000,0.0928361448,-0.0216444256,0.0118582701,0.0950860413
1.610000,0.0972921058,-0.0209635653,0.0117043442,0.0947287247
1.615000,0.1017242063,-0.0202860727,0.0115523388,0.0943727507
1.620000,0.1061313595,-0.0196120711,0.0114022313,0.0940181145
1.625000,0.1105124845,-0.0189416811,0.0112539994,0.0936648109
1.630000,0.1148665069,-0.0182750213,0.0111076211,0.0933128350
1.635000,0.1191923588,-0.0176122077,0.0109630746,0.0929621817
1.640000,0.1234889794,-0.0169533538,0.0108203383,0.0926128461
1.645000,0.1277553150,-0.0162985710,0.0106793908,0.0922648233
1.650000,0.1319903192,-0.0156479683,0.0105402110,0.0919181082
1.655000,0.1361929534,-0.0150016520,0.0104027780,0.0915726961
1.660000,0.1403621870,-0.0143597263,0.0102670712,0.0912285820
1.665000,0.1444969975,-0.0137222931,0.0101330700,0.0908857610
1.670000,0.1485963708,-0.0130894517,0.0100007543,0.0905442282
1.675000,0.1526593016,-0.0124612993,0.0098701039,0.0902039789
1.680000,0.1566847935,-0.0118379304,0.0097410992,0.0898650081
1.685000,0.1606718592,-0.0112194376,0.0096137204,0.0895273112
1.690000,0.1646195210,-0.0106059108,0.0094879482,0.0891908832
1.695000,0.1685268106,-0.0099974377,0.0093637635,0.0888557195
1.700000,0.1723927699,-0.0093941037,0.0092411473,0.0885218153
1.705000,0.1762164507,-0.0087959919,0.0091200807,0.0881891659
1.710000,0.1799969153,-0.0082031829,0.0090005454,0.0878577664
1.715000,0.1837332366,-0.0076157553,0.0088825228,0.0875276124
1.720000,0.1874244982,-0.0070337853,0.0087659949,0.0871986989
1.725000,0.1910697949,-0.0064573466,0.0086509436,0.0868710215
1.730000,0.1946682327,-0.0058865110,0.0085373514,0.0865445754
1.735000,0.1982189291,-0.0053213478,0.0084252005,0.0862193561
1.740000,0.2017210132,-0.0047619241,0.0083144736,0.0858953589
1.745000,0.2051736264,-0.0042083048,0.0082051535,0.0855725792
1.750000,0.2085759217,-0.0036605525,0.0080972233,0.0852510124
1.755000,0.2119270648,-0.0031187277,0.0079906662,0.0849306541
1.760000,0.2152262338,-0.0025828887,0.0078854655,0.0846114996
1.765000,0.2184726197,-0.0020530915,0.0077816048,0.0842935444
1.770000,0.2216654263,-0.0015293901,0.0076790679,0.0839767840
1.775000,0.2248038706,-0.0010118360,0.0075778387,0.0836612140
1.780000,0.2278871828,-0.0005004791,0.0074779014,0.0833468298
1.785000,0.2309146069,0.0000046333,0.0073792401,0.0830336271
1.790000,0.2338854003,0.0005034559,0.0072818395,0.0827216012
1.795000,0.2367988344,0.0009959453,0.0071856841,0.0824107480
1.800000,0.2396541949,0.0014820603,0.0070907587,0.0821010628
1.805000,0.2424507813,0.0019617619,0.0069970484,0.0817925414
1.810000,0.2451879080,0.0024350131,0.0069045383,0.0814851794
1.815000,0.2478649035,0.0029017787,0.0068132138,0.0811789724
1.820000,0.2504811114,0.0033620257,0.0067230602,0.0808739160
1.825000,0.2530358900,0.0038157232,0.0066340634,0.0805700060
1.830000,0.2555286129,0.0042628422,0.0065462091,0.0802672381
1.835000,0.2579586686,0.0047033554,0.0064594832,0.0799656079
1.840000,0.2603254613,0.0051372380,0.0063738720,0.0796651111
1.845000,0.2626284105,0.0055644665,0.0062893617,0.0793657436
1.850000,0.2648669513,0.0059850199,0.0062059388,0.0790675011
1.855000,0.2670405349,0.0063988786,0.0061235899,0.0787703793
1.860000,0.2691486281,0.0068060252,0.0060423018,0.0784743740
1.865000,0.2711907140,0.0072064439,0.0059620613,0.0781794810
1.870000,0.2731662917,0.0076001211,0.0058828556,0.0778856963
1.875000,0.2750748768,0.0079870446,0.0058046719,0.0775930155
1.880000,0.2769160011,0.0083672043,0.0057274975,0.0773014345
1.885000,0.2786892131,0.0087405918,0.0056513199,0.0770109493
1.890000,0.2803940780,0.0091072002,0.0055761269,0.0767215556
1.895000,0.2820301777,0.0094670247,0.0055019061,0.0764332495
1.900000,0.2835971109,0.0098200621,0.0054286455,0.0761460267
1.905000,0.2850944933,0.0101663108,0.0053563333,0.0758598833
1.910000,0.2865219577,0.0105057709,0.0052849576,0.0755748152
1.915000,0.2878791541,0.0108384443,0.0052145068,0.0752908183
1.920000,0.2891657495,0.0111643343,0.0051449693,0.0750078886
1.925000,0.2903814285,0.0114834460,0.0050763339,0.0747260221
1.930000,0.2915258929,0.0117957860,0.0050085892,0.0744452148
1.935000,0.2925988620,0.0121013625,0.0049417241,0.0741654627
1.940000,0.2936000727,0.0124001852,0.0048757278,0.0738867619
1.945000,0.2945292795,0.0126922654,0.0048105892,0.0736091084
1.950000,0.2953862544,0.0129776158,0.0047462977,0.0733324983
1.955000,0.2961707874,0.0132562508,0.0046828428,0.0730569276
1.960000,0.2968826859,0.0135281859,0.0046202138,0.0727823925
1.965000,0.2975217755,0.0137934383,0.0045584005,0.0725088890
1.970000,0.2980878993,0.0140520266,0.0044973927,0.0722364133
1.975000,0.2985809186,0.0143039708,0.0044371802,0.0719649616
1.980000,0.2990007124,0.0145492921,0.0043777530,0.0716945299
1.985000,0.2993471777,0.0147880132,0.0043191014,0.0714251144
1.990000,0.2996202297,0.0150201581,0.0042612154,0.0711567113
